date time,cpu usage(%),mem usage(bytes),gpu usage(%),disk usage(%),network upload speed(Bps),network download speed(Bps)
2023/12/27 15:04:19,1.92,24759000000,0,1.16,5000,3000
2023/12/27 15:04:20,0,24766000000,1,0.17,120,108
2023/12/27 15:05:29,0,23694000000,5,0,13000,5000
2023/12/27 15:05:30,1.8,23656000000,5,47.65,17000,5000
2023/12/27 15:05:31,2.37,23625000000,5,100,19000,5000
2023/12/27 15:05:32,3.09,23398000000,3,100,1000,990
2023/12/27 15:05:33,2.9,23251000000,5,100,12000,4000
2023/12/27 15:05:34,11.15,23063000000,3,94.35,99000,24000
2023/12/27 15:05:35,4.26,22982000000,8,100,37000,22000
2023/12/27 15:05:36,5.79,22875000000,13,26.72,137000,53000
2023/12/27 15:05:37,9.48,22683000000,4,11.18,118000,54000
2023/12/27 15:05:38,7.03,22476000000,4,100,257000,15000
2023/12/27 15:05:39,4.27,22313000000,6,23.08,3000000,54000
2023/12/27 15:05:40,2.21,22217000000,5,99.76,13000,10000
2023/12/27 15:05:41,6.52,22244000000,4,100,43000,9000
2023/12/27 15:05:42,11.24,22121000000,3,37.26,44000,10000
2023/12/27 15:05:43,9.89,22037000000,4,14.01,13000,61000
2023/12/27 15:05:44,13.87,22062000000,4,89.97,29000,8000
2023/12/27 15:05:45,6.77,22033000000,4,3.2,23000,19000
2023/12/27 15:05:46,2.65,22010000000,5,1.59,671000,32000
2023/12/27 15:05:47,2.83,22016000000,5,1.23,56000,106000
2023/12/27 15:05:48,0.46,22010000000,4,3.11,2000,4000
2023/12/27 15:05:49,0.65,22072000000,7,1.56,1000,150
2023/12/27 15:05:50,1.76,22142000000,4,2.5,272,335
2023/12/27 15:05:51,1.2,22144000000,4,1.55,2000000,15000
2023/12/27 15:05:52,2.74,22137000000,3,4.64,6000,1000
2023/12/27 15:05:53,3.93,22130000000,3,2.58,1000,3000
2023/12/27 15:05:54,3.81,22093000000,3,16.75,21000,6000
2023/12/27 15:05:55,1.22,22079000000,4,2.23,32000,32000
2023/12/27 15:05:56,2.03,22072000000,4,1.87,141000,210000
2023/12/27 15:05:57,0.61,22072000000,3,1.48,13000,8000
2023/12/27 15:05:58,1.21,22038000000,3,5.8,9000,12000
2023/12/27 15:05:59,0.58,22058000000,4,2.57,5000,7000
2023/12/27 15:06:00,0.76,22049000000,4,2.84,512000,7000
2023/12/27 15:06:01,2.9,23068000000,4,1.84,18000,9000
2023/12/27 15:06:02,0.79,23128000000,3,0.55,1000,2000
2023/12/27 15:06:03,1.29,23138000000,3,1.42,853,996
2023/12/27 15:06:04,0,23121000000,3,1.55,2000000,44000
2023/12/27 15:06:05,0.79,23145000000,4,1.33,70,71
2023/12/27 15:06:06,0.69,23132000000,4,1.08,2000,756
2023/12/27 15:06:07,0.84,23152000000,3,0.94,4000,62000
2023/12/27 15:06:08,1.8,23146000000,4,3.17,921,3000
2023/12/29 18:08:56,0,19373000000,5,0,60,0
2023/12/29 18:08:57,0.84,19360000000,3,1.17,0,0
2023/12/29 18:08:58,0.3,19349000000,3,0.28,60,0
2023/12/29 18:08:59,1.04,19354000000,5,1.18,509,54
2023/12/29 18:09:00,0.59,19366000000,4,1.04,60,0
2023/12/29 18:09:01,0.28,19366000000,3,0.34,471000,7000
2023/12/29 18:09:02,0,19362000000,4,0.85,2000000,11000
